WH1,2023-03-03,FBA,ASIN Blacklist,Brand Blacklist,,Reorder Qty,Backorder,2023-03-03,Gustotrade,,3.18,,848,2801,2801,2801,,"$74,638","$28,041",38%,WH1,FBA,backorder,unipack,1.8,0.075,0.5,7,30,0,default,FBA-DTA,,Y,,0.33,3pl_fbaprep4u,3/3/2023 4:13:08,,20%,48%,,,,,,30,30,30,,,https://svc-reports.s3.amazonaws.com/python_po_files/2023/3/3/fba/PO_WH1_23-03-03_13-11-57_BUF_FBA.xlsx,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBA Inbound Eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVC Purchase Decision,Ordering Notes,Supplier Code,SVC Notes1,SVC Notes2,SVC Outstanding Qty,SVC ToOrder Target,SVC Inventory Level,Supplier Stock Level,Supplier Backorder ETA,SVC Code,SVC Manual SKU Multiplier,SVC Formula SKU Multiplier,SVC Variation Multiplier,SVC Target AMZN Qty (pks),SVC Vendor Qty (eaches),SVC Vendor Qty (cases),SVC Final AMZN Qty (pks),SVC Tot Cost,SVC Tot Profit,MSKU,ASIN,UPC,Supplier SKU,Supplier Map Price,Adjusted Supplier Unit Price,Supplier Unit Price,UOM,Supplier Sold By Increments,Supplier Case Size,Supplier Notes,Supplier Item Description,Amazon Title,See Amazon Page,Supplier Sold By Increments.1,AMZ Multi Pack Qty,Keepa Ref Price V7 Fast Median,Keepa Ref Price V7 Slow Median,Total COGS $USD,Net Profit $USD,Net Margin %,Net RoI %,Best Seller Rank,SVC BSR Velocity Estimate,SVC Ref Price,Est. Sales / Month,Est. Share of Sales / Month,Est BSR All Sellers 30D Orders,Est BSR Share Sales 30D Orders,Est AUSV 30D Orders,"MAX(AW,AX)",FNSKU,Product Group,Prime Sellers in BuyBox Contention,Unit per Session Conversion % 90D,Supplier Shipping $USD,Ship To Amazon $USD,Ship To Amazon / unit $USD,Prep $USD,Amazon Required Prep,BuyBox Seller Type,Amazon sells at $USD,Lowest FBA New Price $USD,No# of sellers,Discount %,SVC ASIN Global BuyBox % 30D,Amazon Ever A Seller?,Buy Box Suppressed?,SVC Current listing FBA ASIN price,Potential SNL,Length and girth,Size Tier,"Shipping weight, lbs",Dim. Weight lbs,Package Height inches,Package Length inches,Package Width inches,Referral Fee $USD,S&L Fees,US Single Ful- fillment Fee $USD,Monthly Storage Fee $USD,Estimated upcoming FBA Fees,Total Amazon Fees $USD,Keepa Ref Price V7 Forecast,No Authorized ASIN,No Authorized Category,No Authorized Brand,Promo,Case Max Dimension,Brand,Case Weight lbs,Supplier Unit Price.1,UPC.1,ASIN.1,Product Type Name,Match Code,Supplier SKU Price Update Datetime,PC2 updated,SVC Order Price 7D,SVC Order Price 15D,SVC Order Price 30D,SVC Order Price 90D,SVC Order Price 180D,Realized Rate of Return (Margin) 360D,Supplier Qty Update Datetime,Total # Orders 7D-360D,PC2 Product not found on Amazon datetime,Global Voice of Customer NCX Rate,Global Voice of Customer NCX Orders,Clean UPC,Keepa UPC,Fixed Price,Limit Ceiling,Small & Light,Case UPC,Shelf Life,Category Code,Global Adj Refund Rate,FBA Inbound Performance,Meltable,Master Item SKU,Master Item ID,Profitable AUSV Rolling Max Waterfall,AUSV WMA 7D-360D,DG Classification,AUSV Rolling Max Waterfall,Keepa updated,Keepa Ref Price V7 Fast 0%,Keepa Ref Price V7 Fast 10%,Keepa Ref Price V7 Fast 20%,Keepa Ref Price V7 Fast 30%,Keepa Ref Price V7 Fast 40%,Keepa Ref Price V7 Fast 60%,Keepa Ref Price V7 Fast 70%,Keepa Ref Price V7 Fast 80%,Keepa Ref Price V7 Fast 90%,Keepa Ref Price V7 Fast 100%,Keepa Ref Price V7 Slow 0%,Keepa Ref Price V7 Slow 10%,Keepa Ref Price V7 Slow 20%,Keepa Ref Price V7 Slow 30%,Keepa Ref Price V7 Slow 40%,Keepa Ref Price V7 Slow 60%,Keepa Ref Price V7 Slow 70%,Keepa Ref Price V7 Slow 80%,Keepa Ref Price V7 Slow 90%,Keepa Ref Price V7 Slow 100%,Global ratings,Variation ratings,SVC Variation # of Reviews,SVC Total # of Reviews,Profitable AUSV WMA 7D-360D,Review Date,NS DTA Outstanding Requested Qty,Seasonal multiplier,Supplier Hazmat,Inbound Working qty,Shipped qty,Receiving qty,"Package weight, lbs",TMP2,TMP3,TMP4,TMP5,TMP6,TMP7,TMP8,Eligibility for FBA Program.,IneligibilityReason,Supplier In Stock Rate WMA 7_360,GPO - Dim. Comparison,Profitable orders ratio  waterfall 7_180,MSKU listing status,Adj Supplier Unit Price Min Margin 15%,ASIN Level Map Price,NS Outstanding Normal Requested Qty,NS Outstanding Normal Ordered Qty,NS Outstanding Normal Received Qty,NS Outstanding Backorder Requested Qty,NS Outstanding Backorder Ordered Qty,NS Outstanding Backorder Received Qty,Target Velocity,Target DOI,Outstanding DOI,Active DOI,DUR,Inventory Age,Hmargin_90_Waterfall_7_90,Shipments Receiving qty,Discontinued,BSR %,BSR % Type,Supplier Stock Level2,Small and Light: Referral Fee $USD,MOQ,Supplier Item Weight lbs,Supplier  LongSide inches,AMZN BB % Winner 0_30,AMZN BB % Winner 0_90,AMZN BB % Winner 0_3,BSR Drops 30D,BSR Drops 90D,BSR Drops 180D,SVC BSR Drops Velocity Estimate WMA 7_360,Is Redirected ASIN,Price Stability,Cost prep in Amazon,Cost prep SL in Amazon,Barcode instruction
,,WH1,,,3,1,1,"99,999",,2,1.00,2.39,1.00,0,0,0,0,$0,$0,B072X7CY9L-WH1-000000,B072X7CY9L,784644226995,CSL1502R,,$17.79,$17.79,,1,1,,"AUDIOPIPE Redline Speaker 5.25"" 2-WAY (pair) 200 WATT BLUE PP CONE","AUDIOPIPE Redline Speaker 5.25"" 2-WAY (pair) 200 WATT BLUE PP CONE",https://www.amazon.com/dp/B072X7CY9L?psc=1,1,1,$35.72,$36.01,$18.29,$7.07,20%,39%,416335.4,,$35.62,11,4.86,11,5,0,5,B072X7CY9L,Car Audio or Theater,1,,,$0.50,$0.50,$0.00,ConsultHelpDocuments,MFN,,$38.93,13,,23%,Y,N,29.13,,34.000,UsLargeStandardSize,3.10,2.30,3.50,13.50,6.75,$2.85,$7.33,$7.33,$0.15,$7.33,$10.18,$36.17,,,,,,Audiopipe,,$17.79,784644226995,B072X7CY9L,SPEAKERS,0,03/03/2023 04:03,02/28/2023 08:57,,,,,,,03/03/2023 04:18,,,,,784644226995,784644226995,,,N,,,,,,N,SLV7A2C62Z,295461,0,0,,0,2023-03-03,$34.87,$35.40,$35.62,$35.62,$35.68,$36.61,$37.70,$39.01,$39.34,$46.23,$32.44,$34.48,$35.55,$35.62,$35.71,$37.17,$38.84,$39.19,$39.33,$46.23,6,6,1,1,0,02/15/2020 UTC,0,1.6,N,,2,0,3.100,,,,,,,,,N/A,0.85,,,Inactive,$0.00,$21.75,,,,,,,0.00,,,,0,13,,,N,0.0193,Second Group,9,0.96,1,3.1,13.5,0%,0%,0%,1,1,6,0.27,,Stable,,,MustProvideSellerSKU
,,WH1,,,0,9,0,"99,999",,2,1.00,1.99,0.07,22,22,22,22,$335,$83,B000WGELG6-WH1-000000,B000WGELG6,747609851243,M4C,,$15.22,$15.22,,1,1,,Fisher Space Pen Cap-O-Matic Space Pen Chrome Plated,"Fisher Space Pen - Chrome M4C - Chrome Clip - Cap-O-Matic, Gift Boxed",https://www.amazon.com/dp/B000WGELG6?psc=1,1,1,$28.90,$28.90,$15.24,$3.76,14%,24%,8365.4,57.387085,$27.58,970,452.6666667,67,31,2,31,,Office Product,2,,,$0.02,$0.02,$0.41,['Polybagging'],FBA,,$28.90,7,,,Y,N,,N,12.481,UsLargeStandardSize,0.09,0.08,0.91,7.21,1.73,$4.14,$2.66,$4.03,$0.01,$3.72,$8.17,$28.90,,,,,,Fisher Space Pen,,$15.22,747609851243,B000WGELG6,WRITING_INSTRUMENT,0,11/15/2020 04:08,02/28/2023 09:00,,,,,$27.50,,,3,,,,747609851243,747609851243; 791836456221; 072090285650; 080000498984; 675903979748; 611101180074; 755034050063; 097914378813; 611104385247,,,N,,,,0.000,,N,SNOWPJ1XA2,60692,0.25,0.0732,,0.25,2023-03-03,$25.10,$27.20,$27.54,$28.63,$28.90,$28.90,$28.90,$28.90,$28.90,$28.90,$22.95,$27.20,$27.20,$27.69,$28.90,$28.90,$28.90,$28.90,$28.90,$35.56,4504,313,180,1711,0.0732,02/26/2023 UTC,,1.6,N,,,,0.088,,,,,,,,,N/A,,,1,Inactive,$14.85,$22.95,,,0,,,,0.25,76,0,0,-76,,,,N,0.0007,The best seller,-1,1.8,1,,,0%,0%,0%,61,171,368,30.2,,Stable,$0.70,$0.70,MustProvideSellerSKU
,,WH1,,,0,1,0,"99,999",,2,1.00,1.52,1.00,2,2,2,2,$156,$35,B011KLPT94-WH1-000000,B011KLPT94,791489103114,MRWT69,$0.00,$78.19,$78.19,,1,1,,Boss Audio Marine 6Ã9â 4-Way Wakeboard Speaker â Sold Each (Black),"Boss Audio MRWT69 6""x9"" 4-Way Waketower Speaker System - (Single)",https://www.amazon.com/dp/B011KLPT94?psc=1,1,1,$121.78,$121.78,$80.10,$17.53,14%,22%,658709.4,,$121.78,6,1.26,6,1,0,1,X0039QBC3R,Single Detail Page Misc,0,0%,,$1.91,$1.91,$0.18,ConsultHelpDocuments,MFN,,,6,,93%,Y,N,,,53.280,UsSmallOversize,9.97,9.13,9.02,12.24,11.50,$9.74,$13.51,$14.03,$0.39,$13.51,$23.77,$135.37,,,,,,BOSS Audio Systems,,$78.19,791489103114,B011KLPT94,SPEAKERS,0,03/03/2023 04:03,02/26/2023 08:37,,,,,,,03/03/2023 04:18,4,,,,791489103114,791489103114,,,N,,,,0.000,,N,SP2962Y21S,294867,0.0333,0.002,,0.0667,2023-03-03,$110.69,$110.70,$111.68,$119.70,$121.54,$121.78,$121.78,$133.42,$136.33,$136.33,$98.35,$107.60,$110.70,$116.08,$120.36,$121.78,$121.78,$130.51,$136.33,$136.33,1,1,0,0,0.0005,,,1.6,N,,,,9.970,,,,,,,,,N/A,0.07,,,Inactive,$77.65,,,,,,,,0.03,30,0,0,-30,,,,N,0.0301,Third Group,0,0.96,1,10.15,14,0%,0%,0%,0,0,3,0.07,,Stable,,,RequiresFNSKULabel
,,WH1,,,0,4,0,"99,999",,2,1.00,1.50,1.00,14,14,14,14,$110,$97,B01N1Q0MVF-WH1-000000,B01N1Q0MVF,636823700041,SQ5C,,$7.86,$7.86,,1,1,,"American Bass 5"" Midrange Sealed Basket Speaker Black (Sold each) 200W Max","American Bass SQ 5c with 5"" to 6.5"" Midrange",https://www.amazon.com/dp/B01N1Q0MVF?psc=1,1,1,$24.79,$24.00,$8.14,$6.95,28%,85%,367025.3,,$24.40,11,5.94,11,6,1,6,B01N1Q0MVF,Wireless,0,0%,,$0.28,$0.28,$0.00,ConsultHelpDocuments,FBA,,$23.94,1,,83%,Y,Y,,,25.000,UsLargeStandardSize,3.10,0.82,2.50,7.00,6.50,$1.95,$7.33,$7.33,$0.05,$7.33,$9.28,$25.76,,,,,,American Bass,,$7.86,636823700041,B01N1Q0MVF,SPEAKERS,0,10/07/2022 09:06,02/28/2023 08:58,,,$21.63,$25.10,$21.04,,08/30/2022 01:20,5,,,,636823700041.0,636823700041,,,N,,,,0.000,,N,SFLS41FLVR,1645862,0.3,0.0493,,0.44,2023-03-02,$15.72,$17.58,$20.19,$21.63,$23.87,$25.63,$25.71,$26.84,$33.27,$36.00,$15.72,$17.22,$19.00,$21.35,$22.54,$25.54,$25.70,$26.62,$32.86,$36.00,5,5,0,0,0.045,,,,N,,,,3.100,,,,,,,,,N/A,0.07,,1,Active,$0.00,,,,,,,,0.20,51,0,0,-51,,0.2225,,N,0.0174,Second Group,0,0.96,1,2.15,7,0%,0%,0%,3,4,8,0.33,,Stable,,,MustProvideSellerSKU
,,WH1,,,0,7,0,"99,999",,2,1.00,1.50,1.00,24,24,24,24,$613,$448,B01LWIJK2L-WH1-000001,B01LWIJK2L,818550016361,CTCK655,,$25.54,$25.54,,1,1,,"Orion Cobalt 6.5"" Component Speakers","Orion Cobalt CT-CK655 6.5"" 450 Watts 2-Way Coaxial Car Speaker, Set of 2 Speakers Kit Include Tweeters",https://www.amazon.com/dp/B01LWIJK2L?psc=1,1,1,$59.95,$54.95,$26.45,$18.66,32%,71%,285202.6,,$57.45,14,8.4,14,8,5,8,B01LWIJK2L,CE,1,,,$0.91,$0.91,$0.00,ConsultHelpDocuments,MFN,,$59.95,3,,,Y,N,,,42.717,UsLargeStandardSize,4.55,4.55,4.41,16.34,8.78,$4.60,$7.81,$7.59,$0.30,$7.67,$12.19,$59.94,,,,,,Orion,,$25.54,818550016361,B01LWIJK2L,SPEAKERS,0,10/07/2022 09:06,02/28/2023 08:58,,,,,,,08/30/2022 01:20,12,,,,818550016361; 818550016361,818550016361,,,N,,,,0.000,,N,SG4PUEQFWC,297042,0.25,0.1605,,0.25,2023-03-02,$39.01,$39.01,$39.01,$39.01,$52.59,$59.95,$59.95,$59.95,$65.39,$82.63,$37.25,$39.00,$39.01,$39.01,$45.95,$59.95,$59.95,$59.95,$64.03,$82.63,20,20,2,2,0.1605,04/16/2021 UTC,,,N,,,,4.268,,,,,,,,,N/A,0.01,,,Inactive,$0.00,,,,,,,0,0.25,68,0,0,-68,,,,N,0.0136,Second Group,0,0.96,1,3.45,8,0%,0%,0%,1,8,29,1.05,,Stable,,,MustProvideSellerSKU
,,WH1,,,42,11,19,"99,999",,2,1.00,1.50,1.00,0,0,0,0,$0,$0,B01IFZM6G2-WH1-000000,B01IFZM6G2,6930148942464,BCC1614,,$0.99,$0.99,,1,1,,CRIMP CAPS 14-16GA. 100 PACK XSCORPION BLACK,"XScorpion BCC1614 Closed End Crimp Cap Gauge Wire Connector Terminal 100/Bag, Black",https://www.amazon.com/dp/B01IFZM6G2?psc=1,1,1,$6.37,$6.36,$1.01,$1.89,30%,182%,215018.6,,$6.36,16,7.466666667,16,7,5,7,B01IFZM6G2,Wireless,2,2%,,$0.02,$0.02,$0.03,ConsultHelpDocuments,FBA,,$5.17,2,,79%,Y,N,6.36,Y,19.500,UsSmallStandardSize,0.05,0.15,0.50,8.50,5.00,$0.95,$2.47,$3.07,$0.01,$3.43,$3.42,$11.51,,,,,,Xscorpion,,$0.99,6930148942464,B01IFZM6G2,ELECTRONIC_COMPONENT_TERMINAL,0,10/07/2022 07:12,03/01/2023 20:00,$5.54,$5.45,$5.27,$4.87,$5.12,,08/30/2022 01:20,15,,,,6930148942464; 69301489424640,,,,Y,,,,0.000,,N,SGIY5ROPTX,1645751,0.55,0.168,,0.55,2023-03-03,$4.15,$4.29,$4.77,$5.09,$5.25,$6.83,$8.05,$11.81,$12.00,$12.00,$4.15,$4.30,$4.81,$5.10,$5.30,$6.70,$7.05,$11.63,$12.00,$12.00,8,8,2,2,0.1559,10/27/2019 UTC,0,,N,,29,,0.050,,,,,,,,,N/A,0.07,,1,Active,$1.93,,,,,,,,0.25,104,170,76,65,74,0.19695,,N,0.0144,Second Group,0,1.8,1,0.1,6,0%,0%,0%,5,11,15,0.95,,Stable,,,MustProvideSellerSKU
,,WH1,,,0,6,,"99,999",,2,1.00,1.50,1.00,14,14,14,14,$308,$146,B095MXY4W2-WH1-000000,B095MXY4W2,745227025183,78310,$0.00,$21.99,$21.99,,1,1,,"Astro SAE 3/8"" Drive Low Profile Nano Impact Sockets (10 Sockets)","Astro Pnematic - 10Pc 3/8"" Drive Low Profile Nano Impact Sockets - SAE (model: 78310)",https://www.amazon.com/dp/B095MXY4W2?psc=1,1,1,$44.39,$44.39,$22.06,$10.42,23%,47%,262924.7,,$44.39,22,13.2,22,13,5,13,X003A8UJXX,Home Improvement,0,10%,,$0.07,$0.07,$0.18,ConsultHelpDocuments,MFN,,,2,,,Y,N,,N,18.779,UsLargeStandardSize,0.83,0.22,1.54,12.56,1.58,$6.66,$3.77,$5.06,$0.01,$4.75,$11.72,$44.41,,,,,,Astro Pneumatic Tool,,$21.99,745227025183,B095MXY4W2,FASTENER_DRIVE_BIT,0,03/03/2023 04:03,02/13/2023 18:14,,,,,,,03/03/2023 04:18,2,,,,745227025183,745227025183,,,N,,,,0.000,,N,SYF8GU1NV4,58774,0.2857,0.1538,,0.2857,2023-03-03,$36.99,$36.99,$38.47,$43.94,$44.39,$44.39,$44.39,$45.43,$45.52,$73.09,$29.99,$36.99,$36.99,$42.37,$44.15,$44.39,$44.39,$45.34,$46.55,$73.09,7,7,3,3,0.1538,01/09/2022 UTC,,,N,,,,0.829,,,,,,,,,N/A,0.03,,,Inactive,$25.76,,,,,,,,0.29,42,0,0,-42,,,,N,,,0,1.8,1,0.85,12.5,0%,0%,0%,9,25,26,1.61,,Stable,,,RequiresFNSKULabel
,,WH1,,,0,32,,"99,999",,2,1.00,1.50,1.00,6,6,6,6,$353,$116,B07HK3K4JR-WH1-000000,B07HK3K4JR,884938405539,MVHS310BT,,$58.78,$58.78,,1,1,,Pioneer Mechless Radio with BluetoothUSBAux.IN2xPreOut,"Pioneer MVH-S310BT Single Din Built-In Bluetooth, MIXTRAX, USB, Auxiliary, Pandora, Spotify, iPhone, Android and Smart Sync App Compatibility Car Digital Media Receiver",https://www.amazon.com/dp/B07HK3K4JR?psc=1,1,1,$94.50,$94.74,$59.19,$19.37,21%,33%,11188.6,,$92.65,251,150.6,251,151,8,151,B07HK3K4JR,Wireless,1,347%,,$0.41,$0.41,$0.00,ConsultHelpDocuments,MFN,,$94.99,4,,,Y,N,,N,33.000,UsLargeStandardSize,2.07,2.07,4.00,9.00,8.00,$7.41,$5.19,$6.60,$0.14,$6.83,$14.01,$94.00,,,,,,PIONEER,,$58.78,884938405539,B07HK3K4JR,AV_RECEIVER,0,11/15/2020 04:08,02/28/2023 09:00,,,,,,,,1,,,,884938405539,884938405539,,177.09,N,,,,0.000,,N,S9QH20Y5YU,60853,0.25,0.25,,0.25,2023-03-03,$90.00,$91.00,$91.60,$94.00,$94.00,$94.99,$95.39,$97.39,$113.05,$134.00,$90.00,$91.00,$92.20,$94.00,$94.00,$94.99,$96.79,$104.60,$150.50,$199.99,1550,1550,166,166,0.25,03/17/2022 UTC,,,N,,,,1.799,,,,,,,,,N/A,,,,Inactive,$0.00,$80.00,,,,,,,0.25,260,0,0,-260,,,,N,0.0005,The best seller,-1,0.96,1,,,0%,0%,0%,80,204,441,28.92,,Stable,,,MustProvideSellerSKU
,,WH1,,,0,0,,"99,999",,2,1.00,1.50,0.09,0,0,0,0,$0,$0,B00WN6BR9W-WH1-000000,B00WN6BR9W,038739811512,ML50LXS2RJ6,,$30.29,$30.29,,1,1,,MAGLITE 2 CELL C  ML50LX LED FLASHLIGHT URBAN GRAY-BLISTER PACK,Maglite ML50LX LED 2-Cell C Urban Gray Flashlight,https://www.amazon.com/dp/B00WN6BR9W?psc=1,1,1,$67.82,$67.82,$30.48,$21.89,32%,71%,130889.6,,$67.82,60,24,5,2,0,2,,Home Improvement,3,,,$0.19,$0.19,$0.18,ConsultHelpDocuments,MFN,,$67.82,5,,,Y,N,,N,26.900,UsLargeStandardSize,0.96,0.96,2.10,12.90,4.90,$10.17,$3.77,$5.06,$0.06,$5.32,$15.23,$67.82,,,,,,MagLite,,$30.29,038739811512,B00WN6BR9W,FLASHLIGHT,0,11/15/2020 04:08,02/28/2023 09:00,,,,,,,,3,,,,038739811512,038739811512,,,N,,,,0.000,,N,S1JTNX1PZ1,60091,0,0.0566,,0.25,2023-03-02,$51.00,$62.45,$66.43,$67.80,$67.82,$67.82,$67.82,$67.82,$74.41,$85.00,$45.87,$54.56,$62.56,$67.72,$67.81,$67.82,$67.82,$67.82,$75.64,$85.00,386,35,14,127,0,01/21/2023 UTC,,,N,,,,0.550,,,,,,,,,N/A,,,,Inactive,$42.04,,,,,,,,0.06,0,0,0,0,,,,N,0.004,The best seller,-1,1.8,1,,,0%,0%,0%,35,111,222,5.03,,Stable,,,MustProvideSellerSKU
,,WH1,,,5,2,0,"99,999",,2,1.00,1.50,1.00,1,1,1,1,$16,$14,B00C86QIU0-WH1-000000,B00C86QIU0,813177022511,12G250,$0.00,$16.30,$16.30,,1,1,,SPEAKER WIRE 12GA. 250' QPOWER,QPower 12G250 12-Gauge Ga 250' Spool High Performance Car/Home Speaker Wire,https://www.amazon.com/dp/B00C86QIU0?psc=1,1,1,$50.08,$45.60,$16.92,$13.93,30%,82%,522372.7,,$46.13,9,3.6,9,4,0,4,B00C86QIU0,CE,1,1%,,$0.62,$0.62,$0.00,ConsultHelpDocuments,FBA,,$51.70,1,,0%,Y,N,48.27,,33.818,UsLargeStandardSize,6.10,2.11,3.86,8.78,8.66,$6.92,$8.29,$8.29,$0.14,$8.29,$15.21,$47.99,,,,,,Q Power,,$16.30,813177022511,B00C86QIU0,CABLE_OR_ADAPTER,0,03/03/2023 04:03,02/28/2023 08:55,,,,$46.13,$46.13,,03/03/2023 04:19,1,,,,813177022511,853585410265; 813177022511,,,N,,,,0.000,,N,S8H14ERLVF,297328,0.25,0.0145,,0.25,2023-03-03,$38.06,$38.48,$39.67,$39.93,$44.51,$51.70,$53.61,$58.06,$63.51,$68.55,$32.99,$38.48,$39.08,$39.93,$40.85,$51.70,$53.61,$58.06,$62.67,$68.55,4,4,1,1,0.0145,01/22/2017 UTC,0,,N,,6,,6.096,,,,,,,,,N/A,0.48,,1,Inactive,$0.00,,,,,,,,0.12,33,40,0,7,5,0.1442,,N,0.0241,Third Group,0,1.8,1,9.9,9,0%,0%,0%,0,1,5,0.2,,Stable,,,MustProvideSellerSKU
